ID,PALABRA,MASCULINO,FEMENINO
6116,maneras,2,7
244,recuerdo,44,46
2846,homofobica,0,1
288,controlar,7,8
271,pintura,1,2
1831,refrendar,2,0
260,lejos,26,34
258,recordar,19,22
278,cuenta,116,91
290,empeorar,0,2
245,especial,56,45
2839,hicimos,8,8
254,poco,94,105
2841,jimmy,4,2
282,10,102,57
294,imposible,28,47
283,comience,0,3
275,as,25,22
264,vence,8,4
1814,cantidades,1,2
1826,debe,135,65
249,vale,49,58
1829,trampa,6,1
274,tienes,81,88
1817,anuncian,3,0
326,animo,16,23
6119,quisieron,1,3
6118,indicada,1,3
1610,cerebral,4,2
1622,candidato,39,20
312,perro,21,24
307,decepcion,5,10
332,welcome,6,7
335,luiferltf,0,1
1618,saludcoop,3,0
1621,salud,62,45
1605,38,10,0
306,confundo,0,1
336,shiii,0,1
1617,vader,3,3
297,vuelta,44,25
2856,quiles,0,1
1608,sintomas,2,5
1609,infarto,6,2
2851,eternos,3,7
1845,abandono,11,5
320,jeisson,0,1
2843,casi,72,74
318,rapido,32,51
246,ay,28,69
1821,presidente,58,22
339,amiga,28,84
2858,pirobo,2,2
321,hablo,15,17
255,humor,15,11
247,donde,212,203
1840,pueblo,77,39
257,momentos,62,74
256,facebook,38,43
309,hijueputa,55,58
213,esa,202,254
281,quedan,20,21
209,asi,350,427
1825,elespectador,34,15
2849,abuelos,2,9
310,amigo,92,91
2854,vestido,3,12
1616,darth,2,2
2853,tacones,1,5
1842,humillado,2,1
324,gros,0,1
2852,ponia,0,2
2850,tendrian,1,1
325,subirme,0,3
331,empijamada,0,1
1611,nosedejesorprenderporunacv,1,0
337,stevenmikesh1,0,1
342,jugar,74,40
2857,envidian,0,1
1837,periodista,24,9
340,rayadera,0,1
341,vaaamosssss,0,1
343,solllll,0,1
345,diaaas,0,1
319,papasito,1,5
317,tapen,0,2
1606,pacientes,3,1
1612,arrestan,1,0
349,voltaje,0,1
6117,encuentras,7,9
334,0101caro,0,3
1613,chewbacca,1,0
1841,derrotado,6,2
1835,mirueda,2,0
1844,personificacion,1,0
1838,venezolano,9,0
329,ando,20,15
1846,desgracia,8,2
1620,ministerio,12,2
302,llorando,5,16
1607,reconocen,1,2
1839,afirma,7,2
301,termine,12,7
1619,liquidarse,1,0
